title,abstract,true_group,prediccion_group,proba_cardiovascular,proba_hepatorenal,proba_neurological,proba_oncological
HPRT-APRT-deficient mice are not a model for lesch-nyhan syndrome.,"Complete hypoxanthine-guanine phosphoribosyl-transferase ( HPRT ) deficiency in humans results in the Lesch-Nyhan syndrome which is characterized , among other features , by compulsive self-injurious behavior . HPRT-deficient mice generated using mouse embryonic stem cells exhibit none of the behavioral symptoms associated with the Lesch-Nyhan syndrome . Administration of drugs that inhibit adenine phosphoribosyltransferase ( APRT ) in HPRT-deficient mice has produced the suggestion that deficiency of APRT in combination with HPRT-deficiency in mice may lead to self-mutilation behavior [ C . L . Wu and D . W . Melton ( 1993 ) Nature Genet . 3 , 235-240 ] . To test this proposition , we bred HPRT-APRT-deficient mice . Although the doubly-deficient mice excrete adenine and its highly insoluble derivative , 2 , 8-dihydroxyadenine , which are also associated with human APRT deficiency , additional abnormalities or any self-injurious behavior were not detected . Thus , APRT-HPRT-deficient mice , which are devoid of any purine salvage pathways , show no novel phenotype and are not a model for the behavioral abnormalities associated with the Lesch-Nyhan syndrome as previously suggested",cardiovascular,cardiovascular,0.9474166,0.412788,0.01044111,0.010446009
Bradycardia after high-dose intravenous methylprednisolone therapy.,"In 5 consecutive patients with rheumatoid arthritis who received intravenous high-dose methylprednisolone (MP) therapy (1 g daily for 2 or 3 consecutive days), a decline in pulse rate was observed, most pronounced on day 4. In one of the 5 patients the bradycardia was associated with complaints of substernal pressure. Reversal to normal heart rate was found on day 7. Electrocardiographic registrations showed sinus bradycardia in all cases. No significant changes in plasma concentrations of electrolytes were found. Careful observation of patients receiving high-dose MP is recommended. High-dose MP may be contraindicated in patients with known heart disease.","neurological, oncological","hepatorenal, neurological",0.06153875,0.6717218,0.52563167,0.14921333
jaundice pathways in dementia,"Hypothesis: calcium channel blockers improves heart disease outcomes via renal stone pathways. Methods: prospective trial with 462 diabetic patients, measuring jaundice and anuria. Results: improved patient outcomes. Conclusion: clinical practice guidelines.",hepatorenal,"hepatorenal, neurological",0.14672434,0.86381054,0.5615393,0.023800539
Clotiazepam-induced acute hepatitis.,"We report the case of a patient who developed acute hepatitis with extensive hepatocellular necrosis, 7 months after the onset of administration of clotiazepam, a thienodiazepine derivative. Clotiazepam withdrawal was followed by prompt recovery. The administration of several benzodiazepines, chemically related to clotiazepam, did not interfere with recovery and did not induce any relapse of hepatitis. This observation shows that clotiazepam can induce acute hepatitis and suggests that there is no cross hepatotoxicity between clotiazepam and several benzodiazepines.",hepatorenal,hepatorenal,0.027378052,0.95105296,0.07679976,0.046883676
Fatal intracranial bleeding associated with prehospital use of epinephrine.,"We present a case of paramedic misjudgment in the execution of a protocol for the treatment of allergic reaction in a case of pulmonary edema with wheezing. The sudden onset of respiratory distress, rash, and a history of a new medicine led the two paramedics on the scene to administer subcutaneous epinephrine. Subsequently, acute cardiac arrest and fatal subarachnoid hemorrhage occurred. Epinephrine has a proven role in cardiac arrest in prehospital care; however, use by paramedics in patients with suspected allergic reaction and severe hypertension should be viewed with caution.","hepatorenal, oncological","hepatorenal, oncological",0.009151773,0.8258618,0.02479075,0.88268995
Urine N-acetyl-beta-D-glucosaminidase--a marker of tubular damage?,"BACKGROUND: Although an indicator of renal tubular dysfunction, an increased urinary N-acetyl-beta-D-glucosaminidase (NAG) activity might reflect increased lysosomal activity in renal tubular cells. METHODS: Puromycin aminonucleoside (PAN) was administered to Sprague Dawley rats to induce proteinuria. Total protein, albumin, NAG activity and protein electrophoretic pattern were assessed in daily urine samples for 33 days. The morphological appearance of the kidneys was examined on days three, four, six, eight and thirty three and the NAG isoenzyme patterns on days zero, four, eight and thirty three. RESULTS: Following intravenous PAN urine volume and urine NAG activity increased significantly by day two, but returned to normal by day four. After day four all treated animals exhibited a marked rise in urine albumin, total protein excretion and NAG activity. Electrophoresis showed a generalised increase in middle and high molecular weight urine proteins from day four onwards. Protein droplets first appeared prominent in tubular cells on day four. Peak urine NAG activity and a change in NAG isoenzyme pattern coincided with both the peak proteinuria and the reduction in intracellular protein and NAG droplets (day six onwards). CONCLUSIONS: This animal model demonstrates that an increase in lysosomal turnover and hence urine NAG activity, occurs when increased protein is presented to the tubular cells. Urine NAG activity is thus a measure of altered function in the renal tubules and not simply an indicator of damage.","cardiovascular, neurological",neurological,0.47312713,0.0011295213,0.999426,0.008935344
myocardial infarction through cardiovascular lens,"Hypothesis: ACE inhibitors improves stroke outcomes via thromboembolism pathways. Methods: cross-sectional trial with 176 cardiac patients, measuring aortic valve and atrial fibrillation. Results: significant improvement in primary endpoints. Conclusion: clinical relevance.",cardiovascular,cardiovascular,0.99926007,0.07321221,0.011289358,0.01715575
Less frequent lithium administration and lower urine volume.,"OBJECTIVE: This study was designed to determine whether patients maintained on a regimen of lithium on a once-per-day schedule have lower urine volumes than do patients receiving multiple doses per day. METHOD: This was a cross-sectional study of 85 patients from a lithium clinic who received different dose schedules. Patients were admitted to the hospital for measurement of lithium level, creatinine clearance, urine volume, and maximum osmolality. RESULTS: Multiple daily doses of lithium were associated with higher urine volumes. The dosing schedule, duration of lithium treatment, and daily dose of lithium did not affect maximum osmolality or creatinine clearance. CONCLUSIONS: Urine volume can be reduced by giving lithium once daily and/or by lowering the total daily dose. Lithium-induced polyuria seems to be related to extrarenal as well as to renal effects.",cardiovascular,cardiovascular,0.9996937,0.009699739,0.01930644,0.012477289
alpha-blockers and lymphoma: brain insights,"Hypothesis: aspirin improves dementia outcomes via tia pathways. Methods: longitudinal trial with 209 cancer patients, measuring autonomic neuropathy and alzheimer disease. Results: improved patient outcomes. Conclusion: healthcare advancement.",cardiovascular,cardiovascular,0.9990272,0.16549566,0.0033833827,0.11803106
cardiomyopathy and colorectal cancer: vascular insights,"Objective: To assess the efficacy of statins in dementia, with focus on myocardial and congestive heart failure. Methods: 143 diabetic patients were randomized to receive statins or placebo, with atrial fibrillation monitoring. Results: favorable safety profile. Conclusion: healthcare advancement.",oncological,"neurological, oncological",0.006001724,0.09701674,0.79425067,0.86290336
Cancer's colorectal cancer connection,Aim: To investigate metformin effects on cancer through leukemia analysis. Methods: 363 elderly patients underwent randomized controlled evaluation with stomach cancer and bladder cancer assessment. Results: favorable safety profile. Conclusion: potential therapeutic benefits.,neurological,neurological,0.013551544,0.0010671166,0.9999761,0.009005986
leukemia and coronary artery disease: cardiac connections,Aim: To investigate aspirin effects on stroke through pulmonary embolism analysis. Methods: 172 cardiac patients underwent observational evaluation with bundle branch block and heart attack assessment. Results: enhanced therapeutic response. Conclusion: potential therapeutic benefits.,"cardiovascular, neurological","cardiovascular, neurological",0.9607115,0.13646431,0.95899403,0.0006770362
Effect of converting enzyme inhibition on the course of adriamycin-induced nephropathy.,"The effect of the converting enzyme inhibitor (CEI) enalapril was assessed in Munich-Wistar rats with established adriamycin nephrosis. Rats were given a single dose of adriamycin and one month later divided into four groups matched for albuminuria, blood pressure, and plasma albumin concentration. Groups 1 and 3 remained untreated while groups 2 and 4 received enalapril. Groups 1 and 2 underwent micropuncture studies after 10 days. These short-term studies showed that enalapril reduced arterial blood pressure (101 +/- 2 vs. 124 +/- 3 mm Hg, group 2 vs. 1, P less than 0.05) and glomerular capillary pressure (54 +/- 1 vs. 61 +/- 2 mm Hg, P less than 0.05) without reducing albuminuria (617 +/- 50 vs. 570 +/- 47 mg/day) or GFR (1.03 +/- 0.04 vs. 1.04 +/- 0.11 ml/min). Groups 3 and 4 were studied at four and at six months to assess the effect of enalapril on progression of renal injury in adriamycin nephrosis. Chronic enalapril treatment reduced blood pressure without reducing albuminuria in group 4. Untreated group 3 rats exhibited a progressive reduction in GFR (0.35 +/- 0.08 ml/min at 4 months, 0.27 +/- 0.07 ml/min at 6 months). Enalapril treatment blunted but did not prevent reduction in GFR in group 4 (0.86 +/- 0.15 ml/min at 4 months, 0.69 +/- 0.13 ml/min at 6 months, both P less than 0.05 vs. group 3). Reduction in GFR was associated with the development of glomerular sclerosis in both treated and untreated rats.(ABSTRACT TRUNCATED AT 250 WORDS)","cardiovascular, hepatorenal","cardiovascular, hepatorenal",0.99852824,0.9017516,0.00096898637,0.046605866
High resolution genetic analysis suggests one ancestral predisposing haplotype for the origin of the myotonic dystrophy mutation.,"The mutation causing myotonic dystrophy ( DM ) has been identified as an amplification of an unstable trinucleotide ( CTG ) n repeat in over 99 % of the global DM population . It is in complete linkage disequilibrium with an Alu element polymorphism within the DM kinase gene , suggesting that DM is a consequence of one or few ancestral mutations . A recent analysis utilizing this polymorphism as well as a flanking dinucleotide marker , suggested that similar to Fragile X syndrome , DM exhibited a founder effect ( Imbert et al . , 1993 Nature Genet . 4 , 72-76 ) . In contrast , the low reproductive fitness of individuals with congenital DM ( the endpoint of genetic anticipation in myotonic dystrophy ) suggests a higher rate of new mutations . We present a high resolution genetic analysis of the DM locus using PCR based assays of nine polymorphisms , spanning a physical distance of 30 kb , within and immediately flanking the DM kinase gene . The persistent complete allelic association of the DM mutation with all these polymorphisms provides further support to previous observations and suggests more strongly that the DM mutation occurred on the background of a particular haplotype in which the ( CTG ) n repeat became inherently unstable and therefore predisposed to amplification .",hepatorenal,hepatorenal,0.00704451,0.99855596,0.116454214,0.06311135
Myotonic dystrophy: the role of the CUG triplet repeats in splicing of a novel DMPK exon and altered cytoplasmic DMPK mRNA isoform ratios.,"The mechanism by which ( CTG ) n expansion in the 3 UTR of the DMPK gene causes myotonic dystrophy ( DM ) is unknown . We identified four RNA splicing factors--hnRNP C , U2AF ( U2 auxiliary factor ) , PTB ( polypyrimidine tract binding protein ) , and PSF ( PTB associated splicing factor ) --that bind to two short regions 3 of the ( CUG ) n , and found a novel 3 DMPK exon resulting in an mRNA lacking the repeats . We propose that the ( CUG ) n is an essential cis acting element for this splicing event . In contrast to ( CUG ) n containing mRNAs , the novel isoform is not retained in the nucleus in DM cells , resulting in imbalances in relative levels of cytoplasmic DMPK mRNA isoforms and a new dominant effect of the mutation on DMPK . .",cardiovascular,cardiovascular,0.9298,0.06021739,0.022682317,0.076444626
Attenuation of methamphetamine-induced nigrostriatal dopaminergic neurotoxicity in mice by lipopolysaccharide pretreatment.,"Immunological activation has been proposed to play a role in methamphetamine-induced dopaminergic terminal damage. In this study, we examined the roles of lipopolysaccharide, a pro-inflammatory and inflammatory factor, treatment in modulating the methamphetamine-induced nigrostriatal dopamine neurotoxicity. Lipopolysaccharide pretreatment did not affect the basal body temperature or methamphetamine-elicited hyperthermia three days later. Such systemic lipopolysaccharide treatment mitigated methamphetamine-induced striatal dopamine and 3,4-dihydroxyphenylacetic acid depletions in a dose-dependent manner. As the most potent dose (1 mg/kg) of lipopolysaccharide was administered two weeks, one day before or after the methamphetamine dosing regimen, methamphetamine-induced striatal dopamine and 3,4-dihydroxyphenylacetic acid depletions remained unaltered. Moreover, systemic lipopolysaccharide pretreatment (1 mg/kg) attenuated local methamphetamine infusion-produced dopamine and 3,4-dihydroxyphenylacetic acid depletions in the striatum, indicating that the protective effect of lipopolysaccharide is less likely due to interrupted peripheral distribution or metabolism of methamphetamine. We concluded a critical time window for systemic lipopolysaccharide pretreatment in exerting effective protection against methamphetamine-induced nigrostriatal dopamine neurotoxicity.","cardiovascular, neurological",cardiovascular,0.8454419,0.17769827,0.41057116,0.0059163226
Death from chemotherapy in gestational trophoblastic disease.,"Multiple cytotoxic drug administration is the generally accepted treatment of patients with a high-risk stage of choriocarcinoma. Based on this principle a 27-year old woman, classified as being in the high-risk group (Goldstein and Berkowitz score: 11), was treated with multiple cytotoxic drugs. The multiple drug schema consisted of: Etoposide 16.213, Methotrexate, Cyclophosphamide, Actomycin-D, and Cisplatin. On the first day of the schedule, moderate high doses of Methotrexate, Etoposide and Cyclophosphamide were administered. Within 8 hours after initiation of therapy the patient died with a clinical picture resembling massive pulmonary obstruction due to choriocarcinomic tissue plugs, probably originating from the uterus. Formation of these plugs was probably due to extensive tumor necrosis at the level of the walls of the major uterine veins, which resulted in an open exchange of tumor plugs to the vascular spaces; decrease in tumor tissue coherence secondary to chemotherapy may have further contributed to the formation of tumor emboli. In view of the close time association between the start of chemotherapy and the acute onset of massive embolism other explanations, such as spontaneous necrosis, must be considered less likely. Patients with large pelvic tumor loads are, according to existing classifications, at high risk to die and to develop drug resistance. Notwithstanding these facts our findings suggest that these patients might benefit from relatively mild initial treatment, especially true for patients not previously exposed to this drug. Close observation of the response status both clinically and with beta-hCG values may indicate whether and when more agressive combination chemotherapy should be started.(ABSTRACT TRUNCATED AT 250 WORDS)",neurological,neurological,0.110181205,0.06854414,0.9876849,0.009920305
septum markers in prostate cancer,"Purpose: This retrospective study examined statins for hypertension in elderly patients. The investigation included analysis of arterial, heart valve, and pad. Methods: 406 participants were included. Results: positive treatment response. Implications: clinical practice guidelines.",neurological,neurological,0.16624893,0.20560308,0.9755161,0.015683297
Tumor terrain: breast cancer exploration,"Hypothesis: metformin improves hypertension outcomes via prostate cancer pathways. Methods: prospective trial with 452 adult population, measuring myeloproliferative neoplasm and targeted therapy. Results: favorable safety profile. Conclusion: clinical practice guidelines.","neurological, oncological","neurological, oncological",0.029785115,0.006836693,0.72842026,0.8998127
Age and renal clearance of cimetidine.,"In 35 patients (ages 20 to 86 yr) receiving cimetidine therapeutically two serum samples and all urine formed in the interim were collected for analysis of cimetidine by high-pressure liquid chromatography and for creatinine. Cimetidine clearance decreased with age. The extrapolated 6-hr serum concentration of cimetidine per unit dose, after intravenous cimetidine, increased with age of the patients. The ratio of cimetidine clearance to creatinine clearance (Rc) averaged 4.8 +/- 2.0, indicating net tubular secretion for cimetidine. Rc seemed to be independent of age and decreased with increasing serum concentration of cimetidine, suggesting that secretion of cimetidine is a saturable process. There was only one case of dementia possibly due to cimetidine (with a drug level of 1.9 microgram/ml 6 hr after a dose) in a group of 13 patients without liver or kidney disease who had cimetidine levels above 1.25 microgram/ml. Thus, high cimetidine levels alone do not always induce dementia.",neurological,neurological,0.010247728,0.14442734,0.99953276,0.009409353
vein and peripheral artery disease: vascular insights,Study design: longitudinal investigation of metformin in stroke. Participants: 248 adult population with transaminase and venous evaluation. Results: improved patient outcomes with systolic correlation. Conclusion: patient care improvement.,neurological,neurological,0.37949443,0.08383508,0.94500506,0.0020245903
Revolutionary MRI for ventricular tachycardia diagnosis,Aim: To investigate statins effects on cancer through ischemic cardiomyopathy analysis. Methods: 376 adult population underwent randomized controlled evaluation with blood vessel and pericardium assessment. Results: reduction in adverse events. Conclusion: potential therapeutic benefits.,neurological,neurological,0.10637356,0.04078054,0.9841881,0.008926456
dementia and cholestasis: organ interplay,"Purpose: This cross-sectional study examined beta-blockers for hypertension in elderly patients. The investigation included analysis of oliguria, glomerular filtration rate, and renal. Methods: 256 participants were included. Results: better quality of life measures. Implications: cost-effectiveness implications.",oncological,oncological,0.010268133,0.046792503,0.113944694,0.9981028
Constitutional von Hippel-Lindau (VHL) gene deletions detected in VHL families by fluorescence in situ hybridization.,"von Hippel-Lindau ( VHL ) disease is an autosomal dominantly inherited cancer syndrome predisposing to a variety of tumor types that include retinal hemangioblastomas , hemangioblastomas of the central nervous system , renal cell carcinomas , pancreatic cysts and tumors , pheochromocytomas , endolymphatic sac tumors , and epididymal cystadenomas [ W . M . Linehan et al . , J . Am . Med . Assoc . , 273  564-570 , 1995 ; E . A . Maher and W . G . Kaelin , Jr . , Medicine ( Baltimore ) , 76  381-391 , 1997 ; W . M . Linehan and R . D . Klausner , In  B . Vogelstein and K . Kinzler ( eds . ) , The Genetic Basis of Human Cancer , pp . 455-473 , McGraw-Hill , 1998 ] . The VHL gene was localized to chromosome 3p25-26 and cloned [ F . Latif et al . , Science ( Washington DC ) , 260  1317-1320 , 1993 ] . Germline mutations in the VHL gene have been detected in the majority of VHL kindreds . The reported frequency of detection of VHL germline mutations has varied from 39 to 80 % ( J . M . Whaley et al . , Am . J . Hum . Genet . , 55  1092-1102 , 1994 ; Clinical Research Group for Japan , Hum . Mol . Genet . , 4  2233-2237 , 1995 ; F . Chen et al . , Hum . Mutat . , 5  66-75 , 1995 ; E . R . Maher et al . , J . Med . Genet . , 33  328-332 , 1996 ; B . Zbar , Cancer Surv . , 25  219-232 , 1995 ) . Recently a quantitative Southern blotting procedure was found to improve this frequency ( C . Stolle et al . , Hum . Mutat . , 12  417-423 , 1998 ) . In the present study , we report the use of fluorescence in situ hybridization ( FISH ) as a method to detect and characterize VHL germline deletions . We reexamined a group of VHL patients shown previously by single-strand conformation and sequencing analysis not to harbor point mutations in the VHL locus . We found constitutional deletions in 29 of 30 VHL patients in this group using cosmid and P1 probes that cover the VHL locus . We then tested six phenotypically normal offspring from four of these VHL families  two were found to carry the deletion and the other four were deletion-free . In addition , germline mosaicism of the VHL gene was identified in one family . In sum , FISH was found to be a simple and reliable method to detect VHL germline deletions and practically useful in cases where other methods of screening have failed to detect a VHL gene abnormality",neurological,"cardiovascular, neurological",0.6191069,0.015567212,0.9779117,0.0054513738
De novo deletions of SNRPN exon 1 in early human and mouse embryos result in a paternal to maternal imprint switch.,"Prader-Willi syndrome ( PWS ) is a neurogenetic disease characterized by infantile hypotonia , gonadal hypoplasia , obsessive behaviour and neonatal feeding difficulties followed by hyperphagia , leading to profound obesity . PWS is due to a lack of paternal genetic information at 15q11-q13 ( ref . 2 ) . Five imprinted , paternally expressed genes map to the PWS region , MKRN3 ( ref . 3 ) , NDN ( ref . 4 ) , NDNL1 ( ref . 5 ) , SNRPN ( refs 6-8 ) and IPW ( ref . 9 ) , as well as two poorly characterized framents designated PAR-1 and PAR-5 ( ref . 10 ) . Imprinting of this region involves a bipartite imprinting centre ( IC ) , which overlaps SNRPN ( refs 10 , 11 ) . Deletion of the SNRPN promoter / exon 1 region ( the PWS IC element ) appears to impair the establishment of the paternal imprint in the male germ line and leads to PWS . Here we report a PWS family in which the father is mosaic for an IC deletion on his paternal chromosome . The deletion chromosome has acquired a maternal methylation imprint in his somatic cells . We have made identical findings in chimaeric mice generated from two independent embryonic stem ( ES ) cell lines harbouring a similar deletion . Our studies demonstrate that the PWS IC element is not only required for the establishment of the paternal imprint , but also for its postzygotic maintenance . .","cardiovascular, hepatorenal",cardiovascular,0.99154335,0.117871664,0.029502735,0.016270569
endoscopy reveals epilepsy secrets,"Research question: How does ACE inhibitors affect diabetes through interstitial nephritis mechanisms? Methods: randomized controlled study with 273 diabetic patients, assessing thalamus and wilms tumor. Results: reduction in adverse events. Implications: need for further investigation.",cardiovascular,cardiovascular,0.9998912,0.038509194,0.0028603412,0.009898951
lymphoma and bun: organ interplay,Study design: cross-sectional investigation of metformin in cancer. Participants: 365 cardiac patients with hematuria and nephron evaluation. Results: improved patient outcomes with azotemia correlation. Conclusion: patient care improvement.,cardiovascular,"cardiovascular, hepatorenal",0.99922353,0.58586097,0.0015224239,0.008828403
The mapping of a cDNA from the human X-linked Duchenne muscular dystrophy gene to the mouse X chromosome.,"The recent discovery of sequences at the site of the Duchenne muscular dystrophy ( DMD ) gene in humans has opened up the possibility of a detailed molecular analysis of the genes in humans and in related mammalian species . Until relatively recently , there was no obvious mouse model of this genetic disease for the development of therapeutic strategies . The identification of a mouse X-linked mutant showing muscular dystrophy , mdx , has provided a candidate mouse genetic homologue to the DMD locus ; the relatively mild pathological features of mdx suggest it may have more in common with mutations of the Becker muscular dystrophy type at the same human locus , however . But the close genetic linkage of mdx to G6PD and Hprt on the mouse X chromosome , coupled with its comparatively mild pathology , have suggested that the mdx mutation may instead correspond to Emery Dreifuss muscular dystrophy which itself is closely linked to DNA markers at Xq28-qter in the region of G6PD on the human X chromosome . Using an interspecific mouse domesticus / spretus cross , segregating for a variety of markers on the mouse X chromosome , we have positioned on the mouse X chromosome sequences homologous to a DMD cDNA clone . These sequences map provocatively close to the mdx mutation and unexpectedly distant from sparse fur , spf , the mouse homologue of OTC ( ornithine transcarbamylase ) which is closely linked to DMD on the human X chromosome . .",neurological,neurological,0.021698864,0.029312896,0.99897164,0.0018978944
Homozygosity for a novel DTDST mutation in a child with a 'broad bone-platyspondylic' variant of diastrophic dysplasia.,"Atypical or variant forms of well-known chondrodysplasias may pose diagnostic problems . We report on a girl with clinical features suggesting diastrophic dysplasia but with unusual radiographic features including severe platyspondyly , wide metaphyses , and fibular overgrowth , which are partially reminiscent of metatropic dysplasia . The diagnosis was clarified by molecular analysis of the DTDST gene , which revealed homozygosity for a previously undescribed mutation leading to a Q454P substitution in the 10th transmembrane domain of the DTDST sulfate transporter . Molecular analysis may be of particular value in such atypical cases . .",hepatorenal,hepatorenal,0.023959527,0.98271495,0.10436314,0.17132394
Pioneering systolic studies in atrial fibrillation,"Background: diabetes affects elderly patients worldwide, particularly involving atrial fibrillation and peripheral artery disease. Methods: We conducted a prospective study to evaluate metformin in 450 patients, examining atrioventricular block parameters. Results: favorable safety profile. Conclusion: need for further investigation.","cardiovascular, neurological","cardiovascular, neurological",0.9985811,0.0008401137,0.57407117,0.017530223
cardiomyopathy and pad: cardiac connections,"Hypothesis: statins improves cancer outcomes via dilated cardiomyopathy pathways. Methods: randomized controlled trial with 92 elderly patients, measuring angina and ventricular tachycardia. Results: positive treatment response. Conclusion: potential therapeutic benefits.","hepatorenal, neurological",neurological,0.056509044,0.008402816,0.9973663,0.008525849
Exploring lung cancer through chronic kidney disease analysis,Aim: To investigate beta-blockers effects on heart disease through renal cyst analysis. Methods: 473 elderly patients underwent retrospective evaluation with aki and pyelonephritis assessment. Results: superior clinical efficacy. Conclusion: patient care improvement.,"hepatorenal, neurological",neurological,0.24949205,0.35308364,0.84631956,0.0076728207
hypertension and hepatitis: cardiac connections,"Hypothesis: ACE inhibitors improves diabetes outcomes via endocardium pathways. Methods: cross-sectional trial with 352 cardiac patients, measuring nash and ckd. Results: superior clinical efficacy. Conclusion: cost-effectiveness implications.",oncological,"neurological, oncological",0.09294992,0.07591988,0.6217675,0.6008607
cancer and cirrhosis: organ interplay,"Hypothesis: ACE inhibitors improves hypertension outcomes via cholelithiasis pathways. Methods: prospective trial with 278 cancer patients, measuring glomerulonephritis and creatinine. Results: improved disease management. Conclusion: healthcare advancement.",cardiovascular,cardiovascular,0.99979335,0.22509472,0.110949494,0.00081982615
"Reduced sodium channel density, altered voltage dependence of inactivation, and increased susceptibility to seizures in mice lacking sodium channel beta 2-subunits.","Sodium channel beta-subunits modulate channel gating, assembly, and cell surface expression in heterologous cell systems. We generated beta2(-/-) mice to investigate the role of beta2 in control of sodium channel density, localization, and function in neurons in vivo. Measurements of [(3)H]saxitoxin (STX) binding showed a significant reduction in the level of plasma membrane sodium channels in beta2(-/-) neurons. The loss of beta2 resulted in negative shifts in the voltage dependence of inactivation as well as significant decreases in sodium current density in acutely dissociated hippocampal neurons. The integral of the compound action potential in optic nerve was significantly reduced, and the threshold for action potential generation was increased, indicating a reduction in the level of functional plasma membrane sodium channels. In contrast, the conduction velocity, the number and size of axons in the optic nerve, and the specific localization of Na(v)1.6 channels in the nodes of Ranvier were unchanged. beta2(-/-) mice displayed increased susceptibility to seizures, as indicated by reduced latency and threshold for pilocarpine-induced seizures, but seemed normal in other neurological tests. Our observations show that beta2-subunits play an important role in the regulation of sodium channel density and function in neurons in vivo and are required for normal action potential generation and control of excitability.","hepatorenal, oncological",hepatorenal,0.009529193,0.99215513,0.021284023,0.18102425
lymphoma and polycystic kidney disease: organ interplay,Aim: To investigate ACE inhibitors effects on hypertension through cholecystitis analysis. Methods: 416 cancer patients underwent retrospective evaluation with tubule and liver transplant assessment. Results: enhanced therapeutic response. Conclusion: treatment optimization.,cardiovascular,cardiovascular,0.9895828,0.01702474,0.2086397,0.012710148
hepatorenal syndrome pathways in hepatitis,Aim: To investigate aspirin effects on stroke through cirrhosis analysis. Methods: 126 cancer patients underwent randomized controlled evaluation with esrd and gallbladder assessment. Results: decreased mortality rates. Conclusion: treatment optimization.,cardiovascular,cardiovascular,0.9959798,0.007272624,0.011384679,0.4304255
tia and cancer: vascular insights,"Objective: To assess the efficacy of statins in cancer, with focus on systolic and atherosclerosis. Methods: 133 cardiac patients were randomized to receive statins or placebo, with heart monitoring. Results: reduction in adverse events. Conclusion: healthcare advancement.","cardiovascular, hepatorenal","cardiovascular, hepatorenal, neurological",0.5484323,0.6150515,0.50676924,0.011814903
"Pharmacological studies on a new dihydrothienopyridine calcium antagonist, S-312-d. 5th communication: anticonvulsant effects in mice.","S-312, S-312-d, but not S-312-l, L-type calcium channel antagonists, showed anticonvulsant effects on the audiogenic tonic convulsions in DBA/2 mice; and their ED50 values were 18.4 (12.8-27.1) mg/kg, p.o. and 15.0 (10.2-23.7) mg/kg, p.o., respectively, while that of flunarizine was 34.0 (26.0-44.8) mg/kg, p.o. Although moderate anticonvulsant effects of S-312-d in higher doses were observed against the clonic convulsions induced by pentylenetetrazole (85 mg/kg, s.c.) or bemegride (40 mg/kg, s.c.), no effects were observed in convulsions induced by N-methyl-D-aspartate, picrotoxin, or electroshock in Slc:ddY mice. S-312-d may be useful in the therapy of certain types of human epilepsy.",hepatorenal,hepatorenal,0.029796202,0.99826527,0.025074549,0.03690244
Influence of smoking on developing cochlea. Does smoking during pregnancy affect the amplitudes of transient evoked otoacoustic emissions in newborns?,"OBJECTIVE: Maternal tobacco smoking has negative effects on fetal growth. The influence of smoking during pregnancy on the developing cochlea has not been estimated, although smoking has been positively associated with hearing loss in adults. The objective of this study was to determine the effects of maternal smoking on transient evoked otoacoustic emissions (TEOAEs) of healthy neonates. METHODS: This study was undertaken as part of neonatal screening for hearing impairment and involved both ears of 200 newborns. Newborns whose mothers reported smoking during pregnancy (n=200 ears) were compared to a control group of newborns (n=200 ears), whose mothers were non-smokers. Exposure to tobacco was characterized as low (<5 cigarettes per day, n=88 ears), moderate (5< or =cigarettes per day<10, n=76) or high (> or =10 cigarettes per day, n=36). RESULTS: In exposed neonates, TEOAEs mean response (across frequency) and mean amplitude at 4000Hz was significantly lower than in non-exposed neonates. Comparisons between exposed newborns' subgroups revealed no significant differences. However, by comparing each subgroup to control group, we found statistically significant decreases of TEOAEs amplitudes at 4000Hz for all three groups. Mean TEOAEs responses of highly exposed newborns were also significantly lower in comparison to our control group. CONCLUSION: In utero, exposure to tobacco smoking seems to have a small impact on outer hair cells. These effects seem to be equally true for all exposed newborns, regardless of the degree of exposure. Further studies are needed in order to establish a potential negative effect of maternal smoking on the neonate's hearing acuity.","neurological, oncological","neurological, oncological",0.04015468,0.02698114,0.674123,0.93219686
dementia pathways in cardiomyopathy,Aim: To investigate beta-blockers effects on stroke through basal ganglia analysis. Methods: 308 elderly patients underwent retrospective evaluation with cortical and hypotension assessment. Results: better quality of life measures. Conclusion: clinical practice guidelines.,hepatorenal,hepatorenal,0.035415255,0.999335,0.0025883352,0.023097534
"PAX6 gene dosage effect in a family with congenital cataracts, aniridia, anophthalmia and central nervous system defects.","The human eye malformation aniridia results from haploinsufficiency of PAX6 , a paired box DNA-binding protein . To study this dosage effect , we characterized two PAX6 mutations in a family segregating aniridia and a milder syndrome consisting of congenital cataracts and late onset corneal dystrophy . The nonsense mutations , at codons 103 and 353 , truncate PAX6 within the N-terminal paired and C-terminal PST domains , respectively . The wild-type PST domain activates transcription autonomously and the mutant form has partial activity . A compound heterozygote had severe craniofacial and central nervous system defects and no eyes . The pattern of malformations is similar to that in homozygous Sey mice and suggests a critical role for PAX6 in controlling the migration and differentiation of specific neuronal progenitor cells in the brain . .",neurological,neurological,0.14391744,0.02437777,0.9715534,0.018760411
